1000 10000
553 294 57
620 310 96
837 8 64
751 801 49
935 748 64
509 436 13
878 749 60
559 332 47
563 850 51
761 426 95
706 418 79
696 464 96
304 565 38
238 457 64
578 444 26
139 146 86
808 643 93
630 316 13
563 134 32
449 369 29
365 335 98
585 477 47
229 423 24
756 946 3
470 364 47
203 965 33
267 420 87
547 936 74
482 193 44
135 809 3
804 826 64
555 878 64
502 246 39
603 384 30
780 544 32
677 749 53
99 103 9
824 567 12
640 670 53
663 699 97
616 513 89
944 393 46
409 756 35
370 878 21
448 670 41
693 239 9
367 995 46
241 108 43
181 371 97
872 831 22
33 17 6
800 474 89
754 940 67
180 848 33
65 845 66
989 519 85
349 659 27
346 308 68
952 637 2
689 46 46
788 887 72
91 49 4
401 521 95
623 102 15
34 932 4
994 492 25
109 607 28
131 103 88
56 389 13
728 812 18
414 105 27
778 995 96
434 40 75
475 212 9
14 398 73
208 181 17
225 287 1
134 947 3
596 766 76
799 533 43
894 879 34
400 770 31
494 633 64
565 797 6
387 709 42
116 95 49
352 866 51
613 601 80
286 313 51
929 82 19
373 420 99
854 383 55
771 193 85
765 327 32
226 147 96
831 885 15
998 228 60
680 600 78
942 489 91
504 196 10
525 727 80
861 982 13
99 175 11
568 184 83
647 131 63
379 733 34
988 741 41
554 149 62
392 518 40
368 179 79
326 790 100
91 910 28
470 110 41
557 195 19
895 545 38
953 132 59
640 597 44
507 918 18
202 393 97
616 979 2
895 857 57
391 462 32
475 158 75
848 321 36
719 138 56
734 259 13
488 195 18
719 567 13
11 901 12
96 930 55
602 297 7
960 251 79
493 244 33
224 358 15
632 439 41
150 802 40
774 474 43
402 747 6
785 621 30
98 190 80
852 315 98
220 594 78
188 708 66
377 758 52
874 490 97
983 818 32
237 249 64
949 107 99
117 363 71
483 521 91
466 807 27
834 488 61
163 68 37
287 86 24
848 142 32
614 336 11
458 968 28
136 426 44
346 622 33
172 981 63
101 942 1
131 827 63
124 512 18
169 657 94
611 340 6
10 532 45
235 46 77
443 139 30
690 818 74
111 722 7
127 917 48
444 225 96
396 418 53
652 106 66
454 914 30
292 551 6
777 902 24
959 446 27
736 816 42
363 445 92
809 566 31
262 548 31
730 262 77
948 226 33
779 812 51
589 643 21
413 860 98
826 801 90
920 279 1
137 601 11
708 909 57
653 590 7
325 518 11
571 56 97
766 969 3
985 548 21
306 303 84
917 567 20
27 73 11
731 515 65
664 750 21
974 895 77
196 750 75
395 894 64
136 490 60
174 764 4
116 385 89
956 32 83
380 177 7
112 833 99
892 628 46
314 865 19
797 840 23
10 566 5
409 825 7
743 907 31
827 636 75
304 214 98
706 951 12
497 294 59
239 853 30
875 646 97
184 661 30
95 997 68
787 209 72
421 121 74
997 11 11
461 380 14
485 936 9
335 633 21
159 706 6
674 801 93
487 100 59
979 192 31
978 145 22
759 35 54
396 658 72
199 739 90
353 75 41
429 690 78
691 58 91
890 706 50
967 837 37
567 502 55
515 206 81
867 408 48
187 260 76
679 781 11
840 100 2
700 61 40
687 371 59
522 671 54
412 81 70
986 261 14
434 838 4
454 80 56
329 114 4
34 1 9
87 109 3
247 791 17
131 383 27
991 680 98
374 93 75
286 268 36
268 596 95
376 519 75
51 143 32
740 81 68
629 634 45
734 681 33
205 390 81
876 794 77
321 545 30
121 780 31
697 340 31
879 637 83
939 92 19
37 480 54
361 66 12
384 942 59
517 157 10
617 5 6
783 531 85
134 193 32
410 398 8
342 132 3
19 524 3
914 811 72
469 129 35
354 389 17
789 240 68
161 775 53
399 608 24
848 979 28
667 566 28
220 406 94
842 375 31
298 61 86
31 462 82
387 248 43
539 923 93
609 783 96
404 567 89
15 592 38
250 489 21
551 150 11
963 387 1
699 409 50
144 674 58
27 466 91
358 555 42
359 308 42
217 670 52
467 306 62
625 803 99
642 92 46
603 196 29
467 692 72
865 624 5
643 952 4
345 282 71
619 321 61
996 432 90
471 559 69
398 730 28
358 553 51
573 282 20
433 52 78
661 407 10
958 214 74
837 530 80
773 166 51
123 155 37
868 446 46
497 375 68
69 713 47
683 831 74
634 796 28
879 653 29
19 806 35
244 656 67
314 944 45
587 374 34
487 965 59
787 718 56
579 782 56
881 850 10
228 302 33
171 462 80
618 918 42
776 1 25
764 993 70
820 180 83
457 815 25
47 343 67
676 628 79
370 81 40
497 585 86
252 890 60
462 807 8
388 150 49
980 584 87
237 643 97
802 962 97
741 607 6
386 85 96
645 911 87
300 843 12
150 635 87
876 598 78
718 63 28
617 213 43
885 296 11
44 810 78
114 773 96
789 228 35
98 158 40
290 398 43
745 523 95
348 770 44
655 589 87
529 854 26
471 795 26
720 762 92
529 810 16
145 883 39
135 145 83
894 209 68
542 57 27
824 562 56
997 510 80
56 812 26
214 550 28
624 375 28
496 855 10
61 56 78
890 660 13
83 215 42
293 135 40
912 698 33
610 892 66
976 173 14
622 838 57
433 167 2
25 314 14
914 458 46
413 508 2
246 437 5
226 64 50
713 856 62
871 884 33
68 645 46
703 573 70
496 400 45
417 674 25
41 401 54
10 890 58
139 270 31
369 511 19
212 346 20
880 499 32
301 795 75
386 356 54
751 260 32
388 113 92
34 560 68
692 651 28
644 331 26
671 100 1
850 120 48
497 136 53
112 617 20
271 891 63
769 621 99
133 125 81
887 640 57
7 410 82
364 587 24
159 709 38
244 255 3
854 289 12
728 616 90
898 252 28
987 37 21
459 911 56
98 293 4
960 105 11
517 372 5
820 332 19
162 664 95
186 16 31
696 408 84
898 71 74
103 972 33
412 148 69
197 117 83
461 544 48
369 147 77
703 932 18
174 427 71
815 966 90
84 831 74
781 300 83
323 616 37
338 131 49
975 63 40
879 520 36
388 960 95
182 26 75
803 35 28
851 838 4
809 789 85
118 265 92
452 889 86
154 253 62
896 247 19
973 398 56
369 775 88
726 67 91
664 411 68
219 165 23
495 637 54
289 661 12
560 382 38
542 731 10
649 930 44
762 29 62
418 861 74
737 11 28
313 151 18
229 594 10
940 173 42
894 214 76
343 799 36
845 997 25
707 968 65
703 689 20
640 558 82
102 60 26
114 543 16
15 401 73
213 969 11
913 156 39
612 661 35
813 912 10
882 16 55
178 153 39
702 52 3
127 148 18
255 773 84
41 873 11
128 274 53
80 382 13
439 916 38
184 734 94
752 650 60
987 408 52
748 546 67
374 261 10
580 436 20
415 989 73
784 955 23
829 964 16
318 798 65
798 372 5
584 221 2
713 464 71
137 41 96
152 268 80
530 877 85
231 500 20
194 760 12
406 467 15
831 538 79
524 46 38
751 276 8
914 961 1
426 801 5
784 477 57
990 139 20
670 263 45
442 129 24
859 185 59
747 344 65
609 611 28
497 253 86
24 630 34
658 80 58
222 27 58
348 483 71
109 813 45
542 93 93
497 519 44
273 861 96
815 947 93
554 677 21
710 875 85
730 618 22
900 569 69
76 860 37
986 844 31
326 949 33
31 409 12
136 393 47
81 329 84
171 324 25
429 199 25
323 352 34
337 225 25
116 810 96
390 685 100
432 917 94
996 493 57
430 746 13
214 663 51
185 906 37
492 61 96
625 941 23
398 182 62
69 520 9
459 729 14
332 982 88
104 915 76
863 854 35
563 798 30
889 666 24
862 507 65
194 99 69
429 822 28
357 189 61
472 619 51
112 266 92
964 18 7
466 152 10
972 805 41
18 24 89
645 722 93
439 301 28
433 21 61
495 104 65
914 971 78
269 811 43
390 154 81
864 430 61
983 63 69
691 9 71
811 847 48
308 264 23
826 219 98
527 870 9
954 32 12
559 491 28
442 138 31
907 304 92
646 214 72
708 754 96
396 754 9
946 250 48
468 123 54
291 924 46
613 344 44
667 833 63
914 416 38
431 282 16
278 333 11
878 829 42
330 558 100
359 303 81
607 593 57
138 220 62
33 546 92
316 503 22
317 516 73
585 184 90
60 482 76
127 543 10
400 796 73
171 724 48
591 264 37
834 371 49
813 811 69
761 454 90
838 816 91
62 80 76
849 172 51
644 629 10
73 223 97
782 569 83
544 298 37
366 602 78
67 899 42
60 246 56
936 672 37
161 647 44
993 112 35
985 234 26
533 264 27
199 73 49
939 801 19
829 290 22
694 890 69
896 62 36
289 397 16
938 569 25
206 945 75
355 545 21
83 522 37
527 620 13
617 271 51
350 504 55
503 607 43
498 741 27
363 37 42
747 55 18
510 895 50
591 772 99
363 165 93
326 971 5
133 207 84
458 94 29
442 931 82
882 515 62
365 467 70
730 471 79
133 944 1
595 545 24
114 778 10
584 299 78
222 709 39
164 192 15
194 175 35
653 698 72
343 50 98
552 548 94
221 254 7
745 200 58
411 785 29
598 52 73
582 421 18
789 172 13
617 701 77
620 154 24
902 292 42
629 181 57
583 276 19
551 857 58
760 647 5
72 475 22
892 266 28
607 862 23
935 565 20
730 855 84
364 58 11
998 753 36
0 484 59
657 964 90
738 109 19
82 650 87
889 457 41
344 750 70
285 942 22
77 38 8
885 706 54
669 540 37
554 85 60
910 238 88
789 738 75
96 321 65
395 786 48
299 20 13
224 86 90
552 982 76
84 430 75
939 728 66
301 676 22
137 644 8
952 374 27
135 996 91
774 715 3
190 658 84
586 156 25
495 902 33
489 167 40
864 890 60
890 620 9
298 107 8
612 236 69
516 976 13
514 126 76
889 817 34
51 986 52
522 19 16
424 837 38
480 268 48
882 497 51
424 745 22
665 68 86
32 90 25
711 252 32
723 312 2
733 347 48
594 180 12
0 202 39
20 471 37
446 877 24
916 959 18
616 63 92
763 101 3
178 270 64
833 591 44
700 962 20
429 876 36
232 753 63
566 980 4
451 879 33
397 367 6
391 906 12
464 250 45
229 164 79
855 71 43
201 166 18
882 543 52
845 764 24
9 947 50
336 341 24
327 470 93
781 434 59
593 0 13
705 409 67
954 332 70
72 328 74
191 561 42
151 311 42
834 889 91
262 863 64
875 517 25
813 159 10
677 55 56
448 225 33
8 724 62
984 523 90
418 133 28
798 515 35
169 238 26
897 185 57
985 662 95
344 78 93
387 666 100
905 233 67
805 304 9
459 93 62
962 492 22
737 247 6
195 793 47
475 321 32
974 626 56
550 604 28
419 589 7
833 350 56
817 561 91
889 913 11
147 620 31
380 951 79
78 295 13
133 281 46
987 267 57
340 676 51
214 885 53
964 918 77
579 454 77
505 737 57
660 186 16
247 509 9
562 792 96
924 125 87
434 46 91
921 92 18
231 340 64
757 705 4
495 73 56
760 160 37
941 128 81
186 909 49
744 437 88
398 208 50
180 464 100
286 146 88
255 37 21
706 101 65
847 183 70
312 317 49
608 152 16
672 579 54
592 834 28
243 357 95
705 24 71
890 62 35
91 897 9
560 500 14
975 10 19
355 896 18
297 25 16
386 691 85
703 461 95
103 586 35
470 174 72
800 649 27
893 184 48
58 363 54
621 380 24
343 85 9
702 484 69
321 67 44
547 346 16
457 234 62
879 469 53
418 487 13
273 246 85
926 312 37
328 987 86
710 54 84
425 102 3
131 410 46
333 961 95
618 539 6
980 512 82
413 310 15
471 983 83
605 415 57
313 810 63
792 131 100
158 965 38
845 425 67
739 530 5
335 203 65
697 533 18
472 200 86
875 650 90
389 921 88
899 268 69
501 226 80
1 671 28
790 113 79
836 400 84
28 160 48
232 501 83
75 536 9
134 24 88
898 238 98
60 281 84
457 266 3
535 285 14
305 768 12
533 296 2
851 248 37
732 337 90
851 205 41
378 101 76
97 438 83
920 833 97
235 226 11
880 65 87
498 288 23
590 615 59
734 801 59
262 105 36
447 305 20
844 205 11
580 696 74
826 176 70
773 712 9
888 954 5
403 642 57
348 471 80
360 279 45
487 616 89
183 881 37
124 67 39
204 417 25
282 980 61
262 782 68
930 226 12
366 469 72
554 458 62
358 135 61
467 745 15
336 833 95
106 735 20
895 803 40
293 438 38
210 887 65
169 530 11
293 27 31
46 475 40
417 483 100
727 785 76
324 66 72
506 830 95
802 910 46
579 934 13
282 686 6
357 937 80
645 732 74
141 30 15
592 900 40
967 110 72
118 359 24
723 831 25
630 17 69
906 970 82
291 941 21
720 93 72
88 362 12
829 273 47
968 109 27
444 109 49
908 184 47
160 438 1
307 27 88
219 60 1
329 549 100
485 954 8
721 40 81
466 17 42
404 786 44
63 628 20
837 940 79
896 784 34
22 800 61
291 18 29
335 843 81
117 443 41
744 519 24
542 207 5
502 689 67
620 60 51
256 550 47
613 6 10
842 742 67
715 172 5
19 740 29
492 258 41
637 973 36
242 55 24
588 105 66
366 801 83
323 836 69
715 157 94
233 61 13
865 655 31
570 234 82
456 8 71
574 95 94
956 272 55
943 681 77
888 425 30
162 347 90
508 859 28
54 222 37
856 639 17
52 183 79
507 610 8
591 892 43
660 46 98
60 646 29
146 415 80
189 403 76
582 611 69
845 572 73
103 247 44
461 425 95
8 627 31
372 493 3
177 18 87
638 572 7
824 621 16
306 400 77
493 164 54
209 157 42
23 868 60
51 504 100
407 224 16
861 68 14
876 158 28
67 139 63
17 487 46
770 87 20
922 563 72
399 368 32
526 933 75
371 151 9
500 814 26
290 152 39
38 463 49
812 998 46
829 125 96
805 70 91
853 800 26
498 939 98
118 333 5
450 307 53
246 29 4
23 879 51
998 102 45
937 238 97
608 743 9
115 471 87
500 615 96
654 283 89
142 714 50
556 182 71
213 87 44
65 685 82
710 740 41
220 525 17
974 274 95
297 92 80
768 701 37
284 856 58
356 491 91
494 907 43
992 340 93
611 557 79
353 463 21
427 85 13
660 254 54
895 338 71
448 638 61
268 936 99
277 899 24
168 747 2
982 942 91
532 653 15
963 243 47
69 290 52
962 244 25
708 773 36
470 71 49
231 584 65
434 586 30
336 754 67
725 49 64
882 726 48
683 351 1
509 896 93
51 297 71
661 505 94
876 772 48
911 311 83
673 704 47
252 690 9
998 981 47
220 413 39
539 630 12
453 834 36
936 29 38
437 571 87
559 479 65
595 157 75
920 88 19
705 608 71
286 4 49
922 295 57
843 668 87
529 617 56
683 500 62
879 282 97
978 606 46
707 142 3
657 846 39
145 106 26
649 933 73
851 667 75
824 386 67
736 975 89
557 344 37
738 808 2
944 786 17
838 924 71
420 86 99
386 118 69
256 376 90
854 711 51
764 181 51
81 927 96
769 933 46
122 256 50
351 225 57
930 435 22
265 212 46
974 221 61
722 871 57
237 515 9
499 147 3
68 427 51
320 428 69
992 663 6
154 641 19
736 375 60
144 538 24
3 653 9
822 319 43
812 640 58
268 297 27
322 628 52
118 5 43
3 308 89
144 80 30
151 475 60
525 971 63
621 110 93
450 743 57
825 928 68
500 644 89
254 513 73
751 3 12
740 76 92
310 520 46
687 859 52
842 251 18
601 142 42
510 815 49
125 110 46
196 403 100
251 248 33
729 285 94
706 117 27
174 980 47
966 168 38
88 460 40
373 892 61
140 381 14
946 408 56
286 113 21
553 20 96
423 93 31
981 59 5
355 751 30
161 358 91
764 408 45
774 603 56
400 353 80
247 672 3
764 129 26
94 129 8
382 891 80
201 962 99
165 188 68
78 815 27
752 816 89
414 984 65
810 109 27
909 213 17
5 856 21
413 984 19
568 841 85
987 244 79
450 428 14
151 272 88
244 719 88
448 919 49
631 98 63
64 924 66
113 356 77
89 61 37
472 879 16
621 788 4
901 37 10
32 531 11
865 918 78
602 214 60
245 4 100
79 402 5
800 177 97
702 180 78
531 208 79
9 976 20
675 345 39
684 227 71
148 142 51
884 358 47
207 15 43
905 276 35
326 820 34
999 171 31
82 440 32
27 590 37
215 834 47
103 947 46
427 45 48
135 465 100
411 184 61
670 539 65
314 826 60
782 6 57
703 309 33
20 694 45
666 712 20
865 796 27
996 275 56
79 823 40
151 902 74
35 234 53
174 227 23
800 467 71
917 406 11
606 302 56
0 81 74
114 544 30
643 1 47
999 181 13
606 100 9
11 753 79
396 523 10
16 874 81
388 757 3
865 477 38
639 831 43
723 183 78
317 698 9
728 509 8
96 60 91
318 639 37
411 139 85
576 872 41
403 212 1
335 243 7
67 299 74
75 132 79
386 265 86
769 600 66
233 958 76
37 890 44
333 790 29
884 376 63
401 915 5
686 505 13
185 611 84
717 620 8
456 7 58
492 754 96
482 228 3
27 100 9
829 187 24
928 649 53
47 699 49
861 201 71
242 637 77
146 62 51
387 452 26
3 39 30
406 906 14
293 931 6
128 813 70
250 471 27
410 599 2
941 609 69
168 9 69
285 45 17
227 485 58
723 22 14
876 503 16
981 426 75
114 653 59
919 38 46
807 199 17
524 567 90
615 98 94
131 213 24
187 230 40
481 149 90
463 206 40
573 574 78
922 501 20
128 821 36
552 166 85
59 688 68
348 0 95
69 986 83
585 25 60
120 220 89
314 678 5
365 878 72
480 434 76
141 306 80
314 688 68
133 61 77
932 529 70
296 139 35
17 938 88
86 724 95
178 877 94
941 806 61
673 282 3
10 204 19
146 366 14
436 499 7
796 370 38
135 676 12
182 23 9
532 622 44
931 879 13
670 993 9
71 227 51
626 619 80
921 960 7
569 137 72
343 848 33
695 674 81
490 460 21
953 6 64
903 320 59
432 23 98
467 73 86
559 908 66
506 475 9
904 447 85
77 283 3
901 788 53
370 532 49
960 589 29
672 487 89
306 832 43
805 792 95
928 435 92
988 62 19
670 630 53
952 55 82
590 270 11
227 434 74
158 851 20
974 691 62
73 415 14
814 608 27
694 177 49
252 165 52
600 351 65
590 469 57
798 247 2
378 202 53
843 812 21
265 318 60
636 237 52
138 350 76
571 345 19
307 76 86
354 44 49
283 503 7
552 359 77
286 728 82
396 330 57
848 797 19
842 710 90
917 424 45
13 118 42
626 505 35
26 540 51
270 451 37
112 469 87
891 856 45
166 311 26
437 787 62
629 948 36
232 980 7
76 966 64
512 577 33
299 27 91
524 563 28
86 756 66
656 188 97
552 350 17
895 475 24
897 281 19
136 933 79
855 140 19
501 206 10
652 150 93
241 491 29
726 996 6
283 277 3
92 246 48
57 74 46
15 956 30
290 253 77
964 806 66
209 367 82
468 218 33
441 565 88
373 519 52
361 230 82
906 94 62
442 192 80
987 35 25
920 121 94
178 42 90
979 15 69
749 456 23
493 723 1
274 730 81
367 450 5
922 255 29
256 117 98
420 209 74
267 840 86
50 925 16
187 189 89
631 568 94
856 382 62
609 577 6
816 209 12
815 261 92
310 965 19
130 87 15
457 936 56
337 560 41
70 675 68
171 877 37
233 879 41
358 257 16
378 201 91
764 632 67
474 646 91
121 622 48
522 32 48
81 834 49
39 768 40
152 964 59
604 229 87
193 283 63
832 626 1
788 506 57
861 765 99
43 513 92
589 414 53
586 74 99
917 412 22
339 335 29
176 149 61
105 935 7
292 471 92
199 730 89
871 323 78
865 246 69
862 495 65
891 31 96
116 264 82
999 413 55
163 340 6
593 164 56
106 838 59
692 544 57
567 394 96
435 924 90
442 775 28
659 69 89
849 737 75
195 722 78
939 364 97
793 306 48
952 366 39
771 287 58
244 74 46
834 891 2
716 605 30
583 176 28
890 89 26
416 728 97
212 835 88
757 634 76
344 972 30
747 670 12
3 394 99
877 179 33
402 780 51
593 355 58
314 734 37
302 164 37
783 201 43
334 489 61
920 499 32
859 447 12
689 649 57
575 428 37
28 108 16
32 92 48
891 575 79
526 617 18
982 416 21
5 864 62
672 274 84
645 300 50
271 66 67
832 459 1
772 364 35
361 647 25
711 608 47
309 593 4
47 625 56
706 649 37
85 622 54
433 645 33
226 753 8
355 952 42
982 124 46
650 331 12
757 125 38
474 529 77
395 890 76
780 808 7
76 677 99
365 750 4
976 113 35
172 299 87
320 916 96
858 197 22
122 438 98
697 395 34
892 145 20
550 594 96
249 466 57
818 29 18
443 632 32
862 602 19
688 393 83
68 156 72
705 700 60
716 975 68
779 193 62
928 234 41
788 986 75
659 388 63
354 334 13
152 113 17
262 631 98
774 140 81
107 724 95
794 941 68
603 21 48
166 497 2
668 75 76
895 500 39
827 361 71
622 351 79
314 370 20
760 442 50
754 315 97
621 39 17
539 891 58
522 680 47
46 632 19
339 117 51
518 933 25
362 263 10
386 393 8
166 88 80
460 233 56
419 707 31
68 398 62
788 400 54
970 750 47
995 401 96
358 524 3
197 980 76
473 78 67
954 841 3
2 792 11
528 594 59
688 438 54
415 544 70
45 430 37
278 187 96
994 635 74
404 313 29
994 895 97
642 240 4
303 9 49
484 937 66
139 380 25
721 893 14
359 940 16
589 134 67
403 671 92
303 379 85
81 99 9
661 515 65
490 424 96
871 467 9
178 58 84
749 329 39
231 802 56
51 301 40
54 588 53
241 328 80
560 715 6
963 317 25
428 319 9
651 517 73
281 117 31
679 60 30
413 274 74
188 12 10
959 684 99
28 863 33
711 971 11
862 244 52
305 350 9
44 6 93
6 735 60
68 137 26
717 692 4
896 957 48
26 39 13
309 669 41
337 231 20
497 177 6
720 338 25
935 81 37
871 328 12
455 104 23
160 178 46
372 236 52
964 837 64
498 796 89
661 535 78
47 936 46
309 236 41
936 964 39
696 902 36
940 214 90
197 88 96
575 800 78
641 861 92
864 791 85
321 576 93
347 96 17
485 235 14
251 878 19
357 134 65
871 300 74
868 280 75
131 833 42
278 392 45
288 45 81
812 535 63
874 695 6
138 250 4
488 723 40
474 826 67
578 97 64
118 788 34
347 449 5
954 370 41
976 179 95
76 996 38
610 781 45
42 880 72
40 794 48
705 819 88
156 475 50
213 820 88
906 286 79
103 354 85
71 530 30
384 667 50
646 676 81
424 403 6
713 35 56
544 95 30
297 690 28
175 292 60
783 245 82
916 416 85
931 562 36
240 648 78
277 530 30
759 732 77
509 432 20
159 17 50
986 916 99
0 890 83
584 539 40
578 388 21
913 56 32
138 155 9
766 836 67
509 820 54
17 734 36
910 817 75
272 551 94
375 163 5
5 740 64
146 293 38
630 319 29
983 200 20
738 272 8
642 789 77
848 342 58
981 774 24
430 768 74
945 601 15
21 299 28
31 581 80
32 350 82
883 624 72
483 807 16
902 715 40
222 604 15
351 188 43
113 544 27
778 383 13
14 810 21
200 981 73
455 811 72
354 174 41
977 840 53
407 709 43
524 748 44
405 415 28
857 63 34
849 191 98
516 43 62
13 819 31
373 972 5
994 951 90
391 61 34
499 491 14
808 8 9
553 53 55
489 404 21
0 910 26
607 895 10
237 18 90
217 81 27
177 260 69
405 296 79
688 232 40
842 429 47
423 579 52
882 862 29
384 871 67
511 911 61
85 42 42
379 674 99
69 317 47
561 686 22
313 53 63
431 843 48
548 949 4
291 978 94
89 414 78
931 717 10
842 895 51
807 971 86
41 281 21
237 718 71
199 158 90
476 713 41
480 969 7
197 122 69
14 915 46
458 397 56
768 862 80
272 57 56
623 130 73
441 628 1
495 697 94
555 847 76
480 424 91
713 666 73
71 596 98
866 749 9
797 832 71
161 326 17
868 178 14
894 667 75
425 862 6
760 215 31
427 89 35
321 119 76
26 284 5
744 971 62
765 582 81
775 12 9
407 42 72
630 600 73
233 356 90
186 98 68
36 449 58
453 73 98
329 626 42
144 505 11
190 914 43
513 46 45
435 509 53
808 751 76
869 424 35
982 433 17
782 781 81
51 415 1
803 290 85
995 783 64
67 203 46
610 586 56
702 456 75
947 926 63
379 482 26
96 974 79
34 478 75
738 581 50
250 54 36
210 30 38
158 738 12
53 717 94
923 446 75
721 477 73
195 720 77
738 577 85
208 501 57
369 687 29
510 148 100
953 493 88
649 255 37
345 775 95
774 108 11
913 412 46
583 13 83
215 437 4
886 770 31
840 549 77
420 981 3
205 206 13
641 567 21
320 194 34
301 200 76
428 243 88
21 688 21
767 863 95
416 568 64
822 261 4
280 402 45
620 223 46
664 93 46
776 382 90
963 867 91
804 148 19
951 767 83
678 78 67
616 745 99
162 571 77
415 575 40
735 795 90
329 709 82
534 545 38
45 987 63
676 314 33
916 790 30
946 172 72
570 752 37
37 749 38
303 179 36
153 628 2
349 603 1
426 866 94
476 345 36
914 339 93
113 964 50
709 199 53
67 305 11
291 211 64
984 92 95
629 534 48
484 318 61
223 88 4
425 219 61
211 571 77
416 693 64
684 181 96
312 784 44
246 257 95
598 826 92
621 391 94
453 236 57
794 76 63
255 242 84
491 476 42
542 982 32
163 85 57
812 983 51
285 663 98
964 402 39
487 739 25
809 181 96
637 470 87
416 800 74
65 728 50
300 820 9
681 966 69
621 284 27
376 543 17
761 280 1
509 2 80
76 83 20
476 39 96
455 381 43
808 641 21
641 624 50
412 194 65
305 231 87
913 749 53
735 544 28
946 936 5
312 458 84
511 819 88
146 453 81
345 13 27
801 320 80
444 460 49
245 349 1
438 276 6
423 224 76
988 6 70
821 977 42
244 428 83
71 349 87
517 374 69
649 266 53
83 644 86
20 171 14
364 988 40
463 968 19
128 838 40
616 210 100
76 745 86
901 852 63
550 493 47
516 408 5
721 394 9
857 500 81
587 418 38
758 905 18
423 734 64
820 618 84
675 192 32
253 350 80
996 454 47
625 576 87
390 60 1
19 49 49
645 117 20
563 564 57
911 367 6
654 0 70
569 264 91
726 986 41
939 338 99
826 609 3
916 577 22
836 655 57
646 979 63
369 810 38
97 326 69
986 72 16
73 823 22
779 874 36
795 154 32
380 672 7
364 39 67
544 689 45
879 321 23
590 377 37
910 933 8
655 999 24
722 127 41
655 73 74
129 852 66
826 565 73
28 223 43
970 623 2
118 562 72
972 864 2
578 730 9
864 965 71
888 534 57
394 704 68
297 448 88
292 911 5
736 152 57
991 852 55
374 678 2
794 856 9
13 458 85
347 370 4
710 195 42
872 720 86
165 551 28
714 641 8
818 931 96
90 198 54
300 174 11
295 279 32
303 13 60
477 435 51
165 21 81
227 848 32
301 7 33
492 851 20
222 53 77
408 972 3
541 861 43
516 0 58
652 912 49
405 74 27
861 489 73
841 365 78
746 69 4
811 729 22
766 242 83
471 547 79
213 887 75
368 856 40
574 185 23
154 427 1
131 458 90
238 236 35
344 358 28
382 994 3
240 196 23
843 628 91
924 565 80
51 701 76
473 918 85
160 261 63
156 66 36
596 233 19
563 78 97
180 823 26
321 400 3
697 467 32
997 476 81
749 299 66
641 110 91
288 1 85
607 185 76
313 714 44
728 549 50
62 720 59
753 825 92
828 763 84
190 157 77
916 184 17
743 69 29
17 530 90
845 2 99
667 635 60
969 973 60
885 350 70
750 493 16
903 14 53
571 928 15
722 653 97
154 964 18
188 460 32
572 816 97
205 217 70
862 336 22
817 546 51
811 695 58
631 938 71
72 382 10
304 931 73
563 890 40
97 579 43
671 542 39
206 639 90
750 919 71
496 273 2
788 428 17
399 31 99
842 351 54
924 274 50
928 914 46
358 805 11
186 839 55
231 32 73
98 615 75
865 908 8
678 94 96
988 718 59
26 716 92
679 601 86
819 266 80
933 505 97
864 30 91
240 584 52
958 846 34
370 912 66
269 26 20
324 958 13
8 784 12
87 910 84
404 809 73
332 500 9
837 174 46
524 119 63
910 240 34
841 280 78
970 513 51
65 801 40
294 615 4
88 87 96
153 391 40
372 474 41
15 237 97
556 71 70
945 214 70
215 455 36
957 696 28
631 914 47
308 149 51
151 614 46
718 792 71
722 160 27
808 84 5
335 585 79
244 360 37
380 750 50
654 935 47
239 84 90
113 3 84
446 253 38
99 448 54
925 912 75
665 564 6
140 924 77
684 175 9
610 527 22
614 32 55
268 570 18
694 764 50
866 16 21
903 582 25
12 650 13
761 80 81
556 625 63
469 323 33
572 647 14
214 602 29
97 906 95
795 292 95
92 578 83
138 655 10
441 778 96
208 799 11
356 925 60
165 287 39
437 958 57
228 40 99
525 911 20
884 561 98
467 13 13
617 67 78
580 270 32
911 935 86
131 314 39
743 667 11
988 876 83
146 208 87
184 736 54
526 402 76
167 411 84
130 294 87
753 687 42
281 167 5
354 305 75
870 164 52
69 627 61
943 740 69
380 261 67
122 159 10
857 524 10
308 658 2
381 107 39
342 601 67
983 784 28
484 911 78
513 361 75
522 906 79
301 807 1
954 70 46
140 58 56
677 487 35
573 610 77
47 950 69
775 641 44
899 576 46
876 912 50
850 996 54
411 858 38
194 159 54
884 574 50
818 824 97
150 924 71
354 658 67
676 630 40
100 918 21
749 568 37
62 451 83
363 661 92
676 436 74
345 619 55
741 136 46
721 578 47
564 960 29
225 366 25
776 863 28
693 80 70
672 24 66
881 715 48
193 955 11
283 534 33
506 393 98
892 146 50
549 959 88
204 194 18
515 780 29
365 293 20
76 393 29
968 946 76
341 493 34
132 123 17
516 56 75
639 145 48
493 942 83
584 258 59
852 340 92
592 604 20
602 592 19
446 250 49
512 922 81
565 877 11
475 452 21
549 137 63
855 791 63
344 184 60
351 773 34
844 12 94
754 97 100
876 352 23
558 849 27
694 634 58
407 942 29
291 821 82
83 989 12
651 654 35
584 141 16
921 993 43
381 127 19
560 870 22
125 223 100
282 819 51
158 868 67
552 701 78
599 496 85
522 370 66
310 852 24
225 829 11
121 668 94
470 45 1
899 720 20
218 313 28
330 997 29
277 146 49
